date,open,high,low,close,volume,log_return
2025-03-03,300.34,303.94,277.3,284.65,115551414,
2025-03-04,270.93,284.35,261.84,272.04,126706623,-0.04531124108965283
2025-03-05,272.92,279.55,267.71,279.1,94042913,0.025621026234838508
2025-03-06,272.06,272.65,260.02,263.45,98451600,-0.05770654388698187
2025-03-07,259.32,266.25,250.73,262.67,102369640,-0.0029651051907172263
2025-03-10,252.54,253.37,220.0,222.15,189076948,-0.16754566208266003
2025-03-11,225.31,237.06,217.02,230.58,174896415,0.03724504442289003
2025-03-12,247.22,251.84,241.1,248.09,142215700,0.0731937097525324
2025-03-13,248.13,248.29,232.6,240.68,114813525,-0.03032333320518898
2025-03-14,247.31,251.58,240.73,249.98,100242300,0.03791266430992461
2025-03-17,245.06,245.4,232.8,238.01,111900600,-0.049068225066559674
2025-03-18,228.16,230.1,222.28,225.31,111477636,-0.05483545787822169
2025-03-19,231.61,241.41,229.2,235.86,111993800,0.045761176944529594
2025-03-20,233.35,238.0,230.05,236.26,99028300,0.0016944848585497799
2025-03-21,234.99,249.52,234.55,248.71,132728700,0.05135466556787515
2025-03-24,258.08,278.64,256.33,278.39,169079900,0.11273544918666345
2025-03-25,283.6,288.2,271.28,288.14,150361538,0.034423464858414285
2025-03-26,282.66,284.9,266.51,272.06,156254441,-0.05742384292804286
2025-03-27,272.48,291.85,271.82,273.13,162572146,0.003925242113161853
2025-03-28,275.58,276.1,260.57,263.55,123809400,-0.03570476901722984
2025-03-31,249.31,260.56,243.36,259.16,134008936,-0.01679747171945937
2025-04-01,263.8,277.45,259.25,268.46,146486911,0.03525629547773344
2025-04-02,254.6,284.99,251.27,282.76,212787817,0.051896554243263324
2025-04-03,265.29,276.3,261.51,267.28,136174300,-0.05630168325425225
2025-04-04,255.38,261.0,236.0,239.43,181229400,-0.11003569949247373
2025-04-07,223.78,252.0,214.25,233.29,183453800,-0.025978783713479968
2025-04-08,245.0,250.44,217.8,221.86,171603500,-0.05023576253203375
2025-04-09,224.69,274.69,223.88,272.2,219433400,0.20449053790685212
2025-04-10,260.0,262.49,239.33,252.4,181722604,-0.07552195955030755
2025-04-11,251.84,257.74,241.36,252.31,128948100,-0.0003566404507695577
2025-04-14,258.36,261.8,245.93,252.35,100135241,0.0001585225699826941
2025-04-15,249.91,258.75,247.54,254.11,79594318,0.006950231350284759
2025-04-16,247.61,251.97,233.89,241.55,112378737,-0.050690753136140534
2025-04-17,243.47,244.34,237.68,241.37,83404800,-0.0007454651219074831
2025-04-21,230.26,232.21,222.79,227.5,97768007,-0.05918078748750315
2025-04-22,230.96,242.79,229.85,237.97,120858500,0.04499437691527957
2025-04-23,254.86,259.45,244.43,250.74,150381903,0.05227193038159435
2025-04-24,250.5,259.54,249.2,259.51,94464200,0.03437869182105744
2025-04-25,261.69,286.85,259.63,284.95,167560700,0.09351848877207214
2025-04-28,288.98,294.86,272.42,285.88,151731800,0.003258416070769636
2025-04-29,285.5,293.32,279.47,292.03,108906600,0.021284394365166676
2025-04-30,279.9,284.45,270.78,282.16,128961100,-0.03438225078914819
2025-05-01,280.01,290.87,279.81,280.52,99659000,-0.005829262259087043
2025-05-02,284.9,294.78,279.81,287.21,114454700,0.023568631840698327
